sample_id	tissue	sex	delta
GTEX-1117F-0226	Adipose - Subcutaneous	female	0.1822027984771548
GTEX-111CU-1826	Adipose - Subcutaneous	male	0.1115932654577519
GTEX-111FC-0226	Adipose - Subcutaneous	male	0.1557495059974328
GTEX-111FC-1426	Adipose - Subcutaneous	male	0.3336261985590266
GTEX-111VG-2326	Adipose - Subcutaneous	male	0.1211147528795854
GTEX-111YS-2426	Adipose - Subcutaneous	male	0.146101400255887
GTEX-1122O-2026	Adipose - Subcutaneous	female	0.1806958626869508
GTEX-1128S-2126	Adipose - Subcutaneous	female	0.1716678820775721
GTEX-113IC-0226	Adipose - Subcutaneous	male	0.2884056309378999
GTEX-113JC-2526	Adipose - Subcutaneous	female	0.25677816035123
GTEX-117XS-2426	Adipose - Subcutaneous	male	0.1179499890182244
GTEX-117YW-2326	Adipose - Subcutaneous	male	0.1281570943823397
GTEX-117YX-2226	Adipose - Subcutaneous	male	0.2311653039313568
GTEX-1192W-2426	Adipose - Subcutaneous	male	0.274088046138452
GTEX-1192X-0126	Adipose - Subcutaneous	male	0.1569755089339514
GTEX-11DXW-0326	Adipose - Subcutaneous	male	0.0873446622175851
GTEX-11DXX-2326	Adipose - Subcutaneous	female	0.1395033626922837
GTEX-11DXY-2526	Adipose - Subcutaneous	male	0.1715624084527974
GTEX-11DXZ-2226	Adipose - Subcutaneous	male	0.3257347739904273
GTEX-11DYG-0226	Adipose - Subcutaneous	male	0.1639189338368877
GTEX-11DZ1-0226	Adipose - Subcutaneous	male	0.1865191233151295
GTEX-11EI6-0226	Adipose - Subcutaneous	male	0.2354633670603652
GTEX-11EMC-2826	Adipose - Subcutaneous	female	0.121175096724221
GTEX-11EQ8-0226	Adipose - Subcutaneous	male	0.2575808260880934
GTEX-11EQ9-2526	Adipose - Subcutaneous	male	0.2608335822690174
GTEX-11GS4-2626	Adipose - Subcutaneous	male	0.1688429572310504
GTEX-11GSO-2326	Adipose - Subcutaneous	male	0.1498284950288251
GTEX-11GSP-2626	Adipose - Subcutaneous	female	0.392202001232134
GTEX-11H98-0226	Adipose - Subcutaneous	male	0.2054675809127607
GTEX-11I78-2626	Adipose - Subcutaneous	female	0.1862305793510966
GTEX-11ILO-0226	Adipose - Subcutaneous	female	0.1669105039495733
GTEX-11LCK-1126	Adipose - Subcutaneous	male	0.1285669844013041
GTEX-11NUK-0326	Adipose - Subcutaneous	male	0.2787371665915534
GTEX-11NV4-0226	Adipose - Subcutaneous	male	0.1823812172772934
GTEX-11O72-0226	Adipose - Subcutaneous	male	0.1988962097022748
GTEX-11OC5-0226	Adipose - Subcutaneous	male	0.1903136158407077
GTEX-11OF3-2426	Adipose - Subcutaneous	male	0.1281402153880567
GTEX-11ONC-2526	Adipose - Subcutaneous	male	0.1807897609290993
GTEX-11P7K-2026	Adipose - Subcutaneous	male	0.1922754980585941
GTEX-11P81-2426	Adipose - Subcutaneous	female	0.2605087215088137
GTEX-11PRG-0626	Adipose - Subcutaneous	male	0.1656672191776004
GTEX-11TTK-0226	Adipose - Subcutaneous	female	0.1650747465562573
GTEX-11TUW-2626	Adipose - Subcutaneous	male	0.2621837136784566
GTEX-11UD1-0226	Adipose - Subcutaneous	female	0.1585969884134093
GTEX-11UD2-0126	Adipose - Subcutaneous	male	0.1468782239567726
GTEX-11WQC-2426	Adipose - Subcutaneous	male	0.2118247290925597
GTEX-11WQK-0626	Adipose - Subcutaneous	male	0.0894824895147097
GTEX-11XUK-2126	Adipose - Subcutaneous	female	0.0797343926163246
GTEX-11ZTS-0226	Adipose - Subcutaneous	female	0.1676810429903542
GTEX-11ZTT-2526	Adipose - Subcutaneous	female	0.2981970998764601
GTEX-11ZU8-2426	Adipose - Subcutaneous	male	0.243366486201068
GTEX-11ZUS-0726	Adipose - Subcutaneous	male	0.2060456439368685
GTEX-11ZVC-2626	Adipose - Subcutaneous	female	0.2802953447039387
GTEX-1211K-2226	Adipose - Subcutaneous	female	0.1365835242643721
GTEX-1212Z-2426	Adipose - Subcutaneous	male	0.1520873846883197
GTEX-12584-0226	Adipose - Subcutaneous	male	0.2847683283145389
GTEX-12696-2526	Adipose - Subcutaneous	male	0.1720513353351805
GTEX-1269C-2726	Adipose - Subcutaneous	female	0.2627209850998259
GTEX-12BJ1-2326	Adipose - Subcutaneous	male	0.1192840205208463
GTEX-12KS4-0426	Adipose - Subcutaneous	male	0.1564184064966119
GTEX-12WS9-0226	Adipose - Subcutaneous	female	0.3131572661720422
GTEX-12WSA-0326	Adipose - Subcutaneous	male	0.2340095533929087
GTEX-12WSB-0226	Adipose - Subcutaneous	female	0.266526582819707
GTEX-12WSC-0226	Adipose - Subcutaneous	male	0.1226667858648397
GTEX-12WSD-0226	Adipose - Subcutaneous	female	0.1566313573514325
GTEX-12WSF-0226	Adipose - Subcutaneous	male	0.1419287670132932
GTEX-12WSG-2926	Adipose - Subcutaneous	female	0.1359185744976511
GTEX-12WSH-2626	Adipose - Subcutaneous	male	0.2721087646800652
GTEX-12WSI-2426	Adipose - Subcutaneous	male	0.1590761304225533
GTEX-12WSJ-2126	Adipose - Subcutaneous	female	0.3171061483599074
GTEX-12WSK-2526	Adipose - Subcutaneous	female	0.3104999031109795
GTEX-12WSL-2426	Adipose - Subcutaneous	male	0.1452413383849057
GTEX-12WSM-0226	Adipose - Subcutaneous	male	0.1222554476742723
GTEX-12WSN-2426	Adipose - Subcutaneous	male	0.1145146105671313
GTEX-12ZZW-0226	Adipose - Subcutaneous	male	0.1813795405720819
GTEX-12ZZX-0226	Adipose - Subcutaneous	female	0.1735634580881765
GTEX-12ZZY-0326	Adipose - Subcutaneous	male	0.1690263819326853
GTEX-12ZZZ-0526	Adipose - Subcutaneous	male	0.1322085329480284
GTEX-13111-1726	Adipose - Subcutaneous	male	0.079420595729202
GTEX-13112-2726	Adipose - Subcutaneous	male	0.2309125009645526
GTEX-13113-1826	Adipose - Subcutaneous	female	0.1534384950278112
GTEX-1313W-0226	Adipose - Subcutaneous	female	0.3140090248546118
GTEX-1314G-1626	Adipose - Subcutaneous	male	0.1036536037932346
GTEX-131XE-2426	Adipose - Subcutaneous	male	0.1143396192471853
GTEX-131XF-2226	Adipose - Subcutaneous	male	0.1416481385095666
GTEX-131XG-2426	Adipose - Subcutaneous	female	0.1358141258091507
GTEX-131XH-2326	Adipose - Subcutaneous	male	0.0908225378008682
GTEX-131XW-0526	Adipose - Subcutaneous	female	0.2240453420854455
GTEX-131YS-0226	Adipose - Subcutaneous	female	0.2290634115389472
GTEX-132AR-0226	Adipose - Subcutaneous	female	0.1511470092442444
GTEX-132NY-0426	Adipose - Subcutaneous	male	0.1779077734071953
GTEX-132Q8-0326	Adipose - Subcutaneous	male	0.1490060173002242
GTEX-132QS-2526	Adipose - Subcutaneous	male	0.3511517588292426
GTEX-1339X-2526	Adipose - Subcutaneous	male	0.071534333238328
GTEX-1399Q-0626	Adipose - Subcutaneous	male	0.1982822711234871
GTEX-1399R-2626	Adipose - Subcutaneous	male	0.1497878365796895
